Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"Natural Suction","Wagon Christ","5A",82.9,"Electronica","Musipal","",1/13/2024,"C:\iTunes\Music\Wagon Christ\Musipal\05 Natural Suction.mp3","5A - 6",2001,-19.4 dB,6,8,0
"DIMELO","MARC ANTHONY","3A",115.0,"SALSA","SIGO SIENDO YO","",1/13/2024,"C:\iTunes\Music\MARC ANTHONY\SIGO SIENDO YO\01 DIMELO.mp3","3A - 7",2006,-13.0 dB,7,6,4199
"Going Bad Acapella RX 7 Pass 2","","5A",86.0,"","","",6/29/2023,"D:\Breakfast Beats\Meek Mill Merengue Project\Samples\Going Bad Acapella RX 7 Pass 2.wav","5A - 4",,-17.5 dB,4,7,0
"Giorgio by Moroder","Daft Punk","8A",128.0,"Electonic","Random Access Memories","",1/13/2024,"C:\iTunes\Music\Daft Punk\Random Access Memories\03 Giorgio by Moroder.mp3","8A - 6",2013,-12.2 dB,6,8,180
"Oh My Love (feat. Katyna Ranieri)","Riz Ortolani","8B",120.1,"Soundtrack","Drive","",1/13/2024,"C:\iTunes\Music\Riz Ortolani\Drive\04 Oh My Love (feat. Katyna Ranieri).mp3","8B - 3",2011,-14.8 dB,3,3,0
"Uriel Kit","Native Instruments","7A",112.2,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\Uriel Kit - A9.wav","7A - 4",,-37.4 dB,4,1,0
"Hop Hop Jivani (armenian 1992)","Robert Chilingirian","6A",99.9,"International","Greates Hits, Vol. 1 (1990-2010)","",1/13/2024,"C:\iTunes\Music\Robert Chilingirian\Greates Hits, Vol. 1 (1990-2010)\4-09 Hop Hop Jivani (armenian 1992).mp3","6A - 7",2010,-14.3 dB,7,8,1150
"07 Rendezvous","","3A",133.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\07 07 Rendezvous.mp3","3A - 9",,-9.4 dB,9,8,14050
"Pekodjinn - Vapin [PEKODJINN RMX]","PEKODJINN","8A",102.0,"","DJINN ROOM VOL.1","",1/13/2024,"C:\Users\louis.media\Downloads\PEKODJINN - DJINN ROOM VOL.1\PEKODJINN - DJINN ROOM VOL.1 - 07 Pekodjinn - Vapin -PEKODJINN RMX-.mp3","8A - 6 - Visit https://pekodjinn.bandcamp.com",2022,-12.8 dB,6,8,44
"Baby, Let's Play House","Buddy Holly","9A",131.4,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\1-12 Baby, Let's Play House.mp3","9A - 3",2009,-14.7 dB,3,8,14
"A Dustland Fairytale","The Killers","10B",129.5,"Rock","Day & Age","",1/13/2024,"C:\iTunes\Music\The Killers\Day & Age\05 A Dustland Fairytale.mp3","10B - 6",2008,-12.3 dB,6,5,172
"Down Under","Oh No","8A",95.1,"Hip Hop","Dr. No's Oxperiment","",1/13/2024,"C:\iTunes\Music\Oh No\Dr. No's Oxperiment\26 Down Under.mp3","8A - 6 - [-X-] UKP 2K7 [-X-]",2007,-13.6 dB,6,3,21
"Zolaa. - Still Ridin'","Dred Collective","6A",80.3,"","Zolaa. - My Body//Still Ridin' EP Inc. Remixes","",1/13/2024,"C:\iTunes\Music\Dred Collective\Zolaa. - My Body__Still Ridin' EP Inc. Remixes\02 Zolaa. - Still Ridin'.mp3","6A - 7 - Visit http://dredcollective.bandcamp.com",2014,-8.3 dB,7,8,2807
"Za Za Za (Mesa Que Mas Aplauda)  (Remix By Cristian)","Climax","6A",102.1,"","","",1/13/2024,"C:\iTunes\Music\Climax\Unknown Album\Za Za Za (Mesa Que Mas Aplauda)  (Remix By Cristian).mp3","6A - 6",,-12.4 dB,6,4,1472
"Greenery","Quasimoto","3A",127.7,"Hip Hop","The Further Adventures of Lord Quas","",1/13/2024,"C:\iTunes\Music\Quasimoto\The Further Adventures of Lord Quas\02 Greenery.mp3","3A - 5",2005,-12.3 dB,5,8,13
"10 TTHHEE PPAARRTTYY","","10A",127.2,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\10 TTHHEE PPAARRTTYY.mp3","10A - 7",,-10.2 dB,7,6,2660
"B2 Krin Party 125","Native Instruments","6A",124.9,"Percussion","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\B2-Calabash Straight 125.wav","6A - 4",,-26.4 dB,4,1,0
"The Future","David Guetta","8A",128.0,"House","Nothing But the Beat","",1/13/2024,"C:\iTunes\Music\David Guetta\Nothing But the Beat\19 The Future.mp3","8A - 8",2011,-9.1 dB,8,3,3627
"Sixteen Candles","The Crests","6B",151.3,"","","",1/13/2024,"C:\iTunes\Music\The Crests\Unknown Album\02 - Sixteen Candles.mp3","6B - 3",,-16.9 dB,3,7,0
"MoombahWow","A Tribe Called Red","9A",108.0,"Pow Wow Step","A Tribe Called Red","",6/29/2023,"C:\iTunes\Music\A Tribe Called Red\A Tribe Called Red\09 MoombahWow.mp3","9A - 7",2012,-7.7 dB,7,8,1553
"Hold Me In Your Arms","Rick Astley","3B",95.9,"Pop","Together Forever - The Best Of (Cd 1)","",1/13/2024,"C:\iTunes\Music\Rick Astley\Together Forever - The Best Of (Cd 1)\13 Hold Me In Your Arms.mp3","3B - 4",2007,-21.5 dB,4,8,0
"Classid Three","The Ace Of Clubs","12A",125.7,"Electronica","Classid Trax","",6/29/2023,"C:\iTunes\Music\The Ace Of Clubs\Classid Trax\03 Classid Three.mp3","12A - 6",2002,-9.3 dB,6,8,27811
"The Strawberry Roan","Marty Robbins","5B",83.5,"Country","Gunfighter Ballads And Trail Songs","",1/13/2024,"C:\iTunes\Music\Marty Robbins\Gunfighter Ballads And Trail Songs\07 The Strawberry Roan.mp3","5B - 3",1959,-19.8 dB,3,3,0
"All I've Got To Do","The Beatles","12A",117.0,"Pop/Rock","With The Beatles","",1/13/2024,"C:\iTunes\Music\The Beatles\With The Beatles\02 All I've Got To Do.mp3","12A - 5",1963,-14.9 dB,5,7,0
"Sickles And Hammers","Sebadoh","9A",132.0,"","III","",1/13/2024,"C:\iTunes\Music\Sebadoh\III\02 Sickles And Hammers.mp3","9A - 8 - www.legalsounds.com",1991,-15.3 dB,8,5,0
"Baby Steps","Luke Vibert & BJ Cole","6A",85.9,"Electronica","Stop The Panic","",1/13/2024,"C:\iTunes\Music\Luke Vibert & BJ Cole\Stop The Panic\09 Baby Steps.mp3","6A - 5",2000,-12.8 dB,5,8,153
"One Little Indian (Jaydee's hit Remix)","Jay Dee","10A",90.2,"Hip Hop/Rap","One Little Indian 12""","",1/13/2024,"C:\iTunes\Music\Jay Dee\One Little Indian 12_\03 One Little Indian (Jaydee's hit Remix).mp3","10A - 4",1995,-17.3 dB,4,8,4
"Pick It Up Ft. Beleaf Of The Breax","Andy Mineo","2A",84.5,"Rap","Formerly Known","",6/29/2023,"C:\iTunes\Music\Andy Mineo\Formerly Known\04 Pick It Up Ft. Beleaf Of The Breax.m4a","2A - 5",2011,-8.9 dB,5,8,5634
"X2 - Suite - John Ottman","Cinema Themes and Music","6A",79.6,"Soundtrack","Cinema Themes and Music","",1/13/2024,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\X2 - Suite - John Ottman.mp3","6A - 3",2003,-19.8 dB,3,3,0
"Don't Go Away","Cheerokee","6A",106.2,"Freestyle","Best of G.T. & Friends","",1/13/2024,"C:\iTunes\Music\Various Artists\Best of G.T. & Friends\04 Don't Go Away.mp3","6A - 6",1990,-17.6 dB,6,7,1
"Television Rules The Nation vs Crescendolls","Daft Punk","4A",126.0,"House","2006-06-30: Eurockéennes, Belfort, France","",1/13/2024,"C:\iTunes\Music\Daft Punk\2006-06-30_ Eurockéennes, Belfort, France\03 Television Rules The Nation vs Crescendolls.MP3","4A - 7",2006,-11.9 dB,7,8,35
"Luv (Sic) Pt3 (Feat. Shing02)","Nujabes","4A",95.0,"Other","Modal Soul","",1/13/2024,"C:\iTunes\Music\Nujabes\Modal Soul\04 Luv (Sic) Pt3 (Feat. Shing02).mp3","4A - 3",2006,-8.9 dB,3,8,135
"U Don't Know Me","Alan Braxe","11A",129.6,"Electronica","Ducksauce","",6/29/2023,"C:\iTunes\Music\Armand Van Helden\Ducksauce\06 U Don't Know Me.mp3","11A - 7",2009,-8.9 dB,7,3,4973
"Coolin Out","Aso","8A",142.5,"","Chillhop Essentials - Spring 2016","",6/29/2023,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Spring 2016\17 Coolin Out.mp3","8A - 4 - Visit http://chillhop.bandcamp.com",2016,-12.9 dB,4,3,1122
"Senki Dala","Venetian Snares","9A",82.0,"","Rossz Csillag Alatt Szueletett","",1/13/2024,"C:\iTunes\Music\Venetian Snares\Rossz Csillag Alatt Szueletett\11 Senki Dala.mp3","9A - 3",2005,-21.3 dB,3,8,3
"e-nyce-underground instrumentals vol 3 (the alchemist edition) - unreleased beat","50 cent","11A",80.6,"","","",6/29/2023,"C:\iTunes\Music\50 cent\Unknown Album\e-nyce-underground instrumentals vol 3 (the alchemist edition) - unreleased beat.mp3","11A - 5",,-13.4 dB,5,8,6
"Track 23","Jay Dee","3A",97.2,"Hip Hop/Rap","3 Beat Tapes","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\3 Beat Tapes\2-23 Track 23.mp3","3A - 7",2005,-12.9 dB,7,5,174
"Jenny Was A Friend Of Mine","The Killers","2A",114.0,"Rock","Hot Fuss","",1/13/2024,"C:\iTunes\Music\The Killers\Hot Fuss\01 Jenny Was A Friend Of Mine.mp3","2A - 7",2004,-10.0 dB,7,5,4214
"Y HUBO ALGUIEN","MARC ANTHONY","9A",120.8,"SALSA","CONTRA LA CORRIENTE","",1/13/2024,"C:\iTunes\Music\MARC ANTHONY\CONTRA LA CORRIENTE\01 Y HUBO ALGUIEN.mp3","9A - 5",1997,-14.6 dB,5,8,5
"01 Pas Encore","pomplamoose","8A",135.0,"","pomplamoose video songs","",1/13/2024,"C:\iTunes\Music\pomplamoose\pomplamoose video songs\01 Pas Encore.mp3","8A - 5",,-10.4 dB,5,8,32
"Floe","Phillip Glass","7A",119.3,"","Glassworks","",1/13/2024,"C:\iTunes\Music\Phillip Glass\Glassworks\02 Floe.mp3","7A - 4",,-17.5 dB,4,8,0
"'Cause I Love You","Lenny Wiliams","2A",118.7,"Mixtape","Kanye's Soul Mixshow (Mixed by A-Trak)","",1/13/2024,"C:\Users\louis.media\Music\ATrak_KanyesSoulMixshow\23 'Cause I Love You.mp3","2A - 4",2006,-13.5 dB,4,3,701
"Just My Imagination(acapella)","Temptations","8B",137.6,"Blues","","",1/13/2024,"C:\iTunes\Music\Temptations\Unknown Album\Just My Imagination(acapella).mp3","8B - 2",,-17.3 dB,2,5,0
"Hiscores","Boards Of Canada","11A",94.2,"Electronica","Old Tunes, Volume 2","",1/13/2024,"C:\iTunes\Music\Boards of Canada\Old Tunes, Volume 2\22 Hiscores.mp3","11A - 4",1992,-20.9 dB,4,4,0
"Strapped (Four-4 Mix) Ft Guilty Simpson","Jay Dee","12A",88.6,"Hip Hop/Rap","Champion Sound","stones throw",1/13/2024,"C:\iTunes\Music\Jay Dee\Champion Sound\2-28 Strapped (Four-4 Mix) Ft Guilty Simpson.mp3","12A - 6",2007,-12.8 dB,6,4,341
"Rob Swift Featuring Automator - This Is Our Day","Dan The Automator","9A",143.1,"Hip-Hop","Ready For My Close Up","",1/13/2024,"C:\iTunes\Music\Dan The Automator\Ready For My Close Up\06 Rob Swift Featuring Automator - This Is Our Day.mp3","9A - 7",,-13.1 dB,7,8,15
"Just a Touch of Love","Slave","8A",110.0,"R&B/Soul","Just a Touch of Love","",9/8/2021,"C:\Users\louis.media\Music\Disco\Just a Touch of Love Slave.mp3","8A - 6",2005,-34.2 dB,6,8,0
"Until","","5A",133.6,"","","",6/29/2023,"D:\Breakfast Beats\Until Remix\Until.mp3","5A - 6",,-14.2 dB,6,8,0
"Aires","sadtoi","5A",129.6,"","Chillhop Essentials Fall 2019","",1/13/2024,"C:\iTunes\Music\Chillhop Music\Chillhop Essentials Fall 2019\07 Aires.mp3","5A - 3 - Visit http://chillhop.bandcamp.com",2019,-14.4 dB,3,6,83
"Kaun Komsott by Ros Sereysothea","","10A",153.9,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\Kaun Komsott by Ros Sereysothea.wav","10A - 4",,-14.9 dB,4,8,0
"Dead Fox","Courtney Barnett","10B",128.7,"Alternative & Indie","Sometimes I Sit And Think, And Sometimes I Just Sit","",1/13/2024,"C:\iTunes\Music\Courtney Barnett\Sometimes I Sit And Think, And Sometimes I Just Sit\07 Dead Fox.mp3","10B - 7",2015,-10.6 dB,7,8,231
"Le Voyage De Penelope","Air","7A",129.8,"Electronica","Moon Safari","",6/29/2023,"C:\iTunes\Music\Air\Moon Safari\10 Le Voyage De Penelope.mp3","7A - 4",1998,-13.0 dB,4,8,194
"Going the Distance","Original Soundtrack","8A",91.1,"Soundtrack","Rocky","",1/13/2024,"C:\iTunes\Music\Original Soundtrack\Rocky\03 Going the Distance.mp3","8A - 4",1977,-16.9 dB,4,8,0
"DJ Nate - Ima Dog","DJ Nate","4A",81.0,"","","",6/29/2023,"C:\iTunes\Music\22\Unknown Album\DJ Nate - Ima Dog.mp3","4A - 4",,-10.5 dB,4,8,2
"OldTricks","AJMW","10A",87.0,"","Chillhop Essentials - Summer 2017","",6/29/2023,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Summer 2017\04 OldTricks.mp3","10A - 5 - Visit http://chillhop.bandcamp.com",2017,-13.5 dB,5,6,0
"Featuring Phat Kat","Jay Dee","3A",88.6,"Hip Hop/Rap","Welcome 2 Detroit","",1/13/2024,"C:\iTunes\Music\Jay Dee\Welcome 2 Detroit\13 Featuring Phat Kat.mp3","3A - 5",2001,-16.7 dB,5,8,27
"Good Times Roll Pt. 2","RJD2","6A",113.0,"Sample","Deadringer","",1/13/2024,"C:\iTunes\Music\RJD2\Deadringer\04 Good Times Roll Pt. 2.mp3","6A - 6",2002,-10.8 dB,6,5,7382
"Golden Girls theme song","Theme Song","10B",83.1,"Theme Song","Theme Song","",1/13/2024,"C:\iTunes\Music\Theme Song\Theme Song\Golden Girls theme song.mp3","10B - 4",,-10.9 dB,4,8,89
"The Prayer (Duet With Andrea Bocelli)","Celine Dion","7B",146.8,"Pop","The Essential","",1/13/2024,"C:\iTunes\Music\Celine Dion\The Essential\36 The Prayer (Duet With Andrea Bocelli).mp3","7B - 3",2011,-15.4 dB,3,8,26
"03 Joulupukki Mello 01","Native Instruments","7A",120.1,"","","",1/13/2024,"C:\iTunes\Music\Native Instruments\Unknown Album\03 Joulupukki Mello 01.aif","7A - 2",,-20.3 dB,2,0,0
"Hit the Quan (Vapor Trap Remix)","iHeart Memphis","7A",80.0,"Dance","Hit The Quan","",1/13/2024,"C:\iTunes\Music\Compilations\Hit The Quan\07 Hit the Quan (Vapor Trap Remix).mp3","7A - 7 - Downloaded from DatPiff.com",,-10.9 dB,7,8,2
"Untitled_2#02","","10A",126.3,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Untitled_2#02.aif","10A - 2",,-12.3 dB,2,5,430
"Trouble (Original Mix)","Wiwek & Gregor Salto feat. MC Spyder","9A",128.0,"Electronica","Trouble","",1/13/2024,"C:\iTunes\Music\Wiwek & Gregor Salto feat. MC Spyder\Trouble\01 Trouble (Original Mix).mp3","9A - 8",2015,-8.7 dB,8,8,27079
"Ish Happens","masked man","9A",80.0,"","Chillhop Essentials - Spring 2019","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Spring 2019\04 Ish Happens.mp3","9A - 4 - Visit http://chillhop.bandcamp.com",2019,-15.9 dB,4,5,96
"Iron Rooster","Foo Fighters","8B",141.0,"Rock","Saint Cecilia EP","",1/13/2024,"C:\iTunes\Music\Foo Fighters\Saint Cecilia EP\04 Iron Rooster.mp3","8B - 5",2015,-12.6 dB,5,6,2150
"Night Flight","Ansel Collins","8B",153.5,"Reggae","King Kong Compilation","",6/29/2023,"C:\iTunes\Music\Ansel Collins\King Kong Compilation\12 Night Flight.mp3","8B - 4",,-15.3 dB,4,8,19
"Survival Test (Rasta Dub Remix)","Jay Dee","6A",87.5,"Hip Hop/Rap","Champion Sound","stones throw",1/13/2024,"C:\iTunes\Music\Jay Dee\Champion Sound\2-24 Survival Test (Rasta Dub Remix).mp3","6A - 6",2007,-14.3 dB,6,3,8
"39. billy jean v. ladytron - seventeen","2 Many DJ's","6A",129.3,"Dance","As Heard On Radio Soulwax - Part 7","",6/29/2023,"C:\iTunes\Music\2 Many DJ's\As Heard On Radio Soulwax - Part 7\39 39. billy jean v. ladytron - seventeen.mp3","6A - 6",,-16.3 dB,6,4,0
"All I Need Is You (DJ Official Trap Remix)","Lecrae","9A",150.0,"Hip-Hop/Rap","Rapzilla.com Free Downloads","",1/13/2024,"C:\iTunes\Music\Lecrae\Rapzilla.com Free Downloads\All I Need Is You (DJ Official Trap Remix).mp3","9A - 7",2015,-8.3 dB,7,8,486
"Corazon Desnudo (Midfug Remix)","Radical One","7A",136.0,"","","",6/30/2023,"C:\iTunes\Music\Radical One\Unknown Album\Corazon Desnudo (Midfug Remix).mp3","7A - 7",2018,-12.5 dB,7,8,3368
"Scars of Love","TKA","11A",118.4,"Freestyle","Greatest Hits","",1/13/2024,"C:\iTunes\Music\TKA\Greatest Hits\03 Scars of Love.mp3","11A - 7",,-16.6 dB,7,7,0
"SNAKES (SMVSH BROS KICKFLIP)","Sikdope","9A",130.0,"BOOTYBOUNCE","","",1/13/2024,"C:\iTunes\Music\Sikdope\Unknown Album\SNAKES (SMVSH BROS KICKFLIP).mp3","9A - 7 - 9A Em",2018,-12.1 dB,7,8,48
"Salud","RJD2","10A",126.9,"Sample","Deadringer","",1/13/2024,"C:\iTunes\Music\RJD2\Deadringer\02 Salud.mp3","10A - 4",2002,-19.4 dB,4,5,154
"Crash","The Primitives","1B",85.1,"Pop","Seriously 80's","",1/13/2024,"C:\iTunes\Music\Compilations\Seriously 80's\3-10 Crash.mp3","1B - 7",2012,-15.6 dB,7,5,0
"Alabina","Alabina","9A",101.8,"International","The Very Best of Alabina (17 Hits)","",6/29/2023,"C:\iTunes\Music\Alabina\The Very Best of Alabina (17 Hits)\17 Alabina.mp3","9A - 7",2008,-13.7 dB,7,8,1048
"Dillatronic 06","J Dilla","8B",98.0,"Hip-Hop","Dillatronic","",1/13/2024,"C:\iTunes\Music\J Dilla\Dillatronic\06 Dillatronic 06.mp3","8B - 3",2015,-14.3 dB,3,8,248
"Jackson 5 -The Love You Save (acapella)","","9A",113.3,"Blues","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Jackson 5 -The Love You Save (acapella).mp3","9A - 4",,-18.0 dB,4,4,0
"Submarine Kit - A4","Native Instruments","3A",139.9,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\Submarine Kit - A4 - 7.wav","3A - 5",,-17.9 dB,5,0,0
"Astronaut","Plug","1A",79.9,"Drum & Bass","Here It Comes","",1/13/2024,"C:\iTunes\Music\Plug\Here It Comes\04 Astronaut.mp3","1A - 6 - All",2006,-12.8 dB,6,8,125
"Williams Blood (Aeroplane Remix)","Grace Jones","10A",104.0,"Electronica/Dance","Pete Tong - Future Classics 2009","",1/13/2024,"C:\iTunes\Music\Compilations\Pete Tong - Future Classics 2009\14 Williams Blood (Aeroplane Remix).mp3","10A - 6",2009,-9.4 dB,6,8,47
"Erotic City (""Let's Go Crazy"" 7"" B-Side Edit)","Prince & The Revolution","2A",125.3,"Pop","Purple Rain (Deluxe) [Expanded Edition]","",9/8/2021,"C:\Users\louis.media\Music\Disco\Erotic City (Let's Go Crazy 7 B-Side Edit) Prince & The Revolution.mp3","2A - 7",2006,-27.4 dB,7,5,0
"The Mob","NFL Films Music","9A",109.7,"Soundtrack","Autumn Thunder CD#3","",1/13/2024,"C:\iTunes\Music\NFL Films Music\Autumn Thunder CD#3\11 The Mob.mp3","9A - 5",,-15.9 dB,5,8,9
"You Are My One Thing (Live)","Bethel Music & Hannah McClure","12B",130.0,"Inspirational","We Will Not Be Shaken","",1/13/2024,"C:\iTunes\Music\Compilations\We Will Not Be Shaken\09 You Are My One Thing (Live).mp3","12B - 5",2015,-10.7 dB,5,8,79
"Atmosphere - Fuck You Lucy","Instrumentals","12B",82.3,"Other","","",1/13/2024,"C:\iTunes\Music\Instrumentals\Unknown Album\Atmosphere - Fuck You Lucy.mp3","12B - 3",,-16.3 dB,3,8,883
"D.A.N.C.E","Justice","11A",110.0,"Electronica","A Cross The Universe","",1/13/2024,"C:\iTunes\Music\Justice\A Cross The Universe\05 D.A.N.C.E.mp3","11A - 4",2008,-12.8 dB,4,6,572
"Temporary Thing","Lou Reed","10B",90.3,"Rock","The Best of Lou Reed","",1/13/2024,"C:\iTunes\Music\Lou Reed\The Best of Lou Reed\12 Temporary Thing.mp3","10B - 3",2009,-15.6 dB,3,8,442
"Computer Complex","Luke Vibert","9B",84.0,"Electronic/IDM","We Hear You","",1/13/2024,"C:\iTunes\Music\Luke Vibert\We Hear You\09 Computer Complex.mp3","9B - 6",2009,-10.2 dB,6,8,14533
"Police Station & Escape From The Police Station","Brad Fiedel","7A",115.9,"","The Terminator Soundtrack","",1/13/2024,"C:\iTunes\Music\Brad Fiedel\The Terminator Soundtrack\2-11 Police Station & Escape From The Police Station.mp3","7A - 3",,-20.9 dB,3,8,0
"Heimr Àrnadalr","Christophe Beck","9B",134.0,"Soundtrack","Frozen (Original Motion Picture Soundtrack) [Deluxe Edition]","",1/13/2024,"C:\iTunes\Music\Compilations\Frozen (Original Motion Picture Soundtrack) [Deluxe Edition]\1-15 Heimr Àrnadalr.m4a","9B - 2",2013,-22.4 dB,2,5,0
"Triste y Vacia-Hector Lavoe","","8A",151.4,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Triste y Vacia-Hector Lavoe.mp3","8A - 4",,-18.7 dB,4,5,0
"Track 22","Jay Dee","10A",94.9,"Hip Hop/Rap","3 Beat Tapes","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\3 Beat Tapes\3-22 Track 22.mp3","10A - 4",2005,-13.0 dB,4,4,459
"Safe Distancing","65daysofstatic","7A",132.8,"Post-Rock/Math-Rock","Silent Running","",6/29/2023,"C:\iTunes\Music\65daysofstatic\Silent Running\04 Safe Distancing.mp3","7A - 5",2011,-15.7 dB,5,7,0
"The Long and Winding Road","The Beatles","5B",132.7,"Pop/Rock","Let It Be","",1/13/2024,"C:\iTunes\Music\The Beatles\Let It Be\10 The Long and Winding Road.mp3","5B - 3",1970,-14.9 dB,3,8,0
"Flashback","Wolfgang Gartner","10A",128.0,"Electro House","Flashback","",1/13/2024,"C:\iTunes\Music\Wolfgang Gartner\Flashback\1-01 Flashback.mp3","10A - 7",2008,-7.8 dB,7,8,3837
"Nem Alacak Felek Benim","Cem Karaca","8A",118.7,"Country & Folk","Istanbul 70: Psych, Disco, Folk Classics","",1/13/2024,"C:\iTunes\Music\Compilations\Istanbul 70_ Psych, Disco, Folk Classics\01 Nem Alacak Felek Benim.m4a","8A - 4",2012,-12.6 dB,4,4,0
"Blizzard","Light Club","1A",140.0,"Electronic","Hotline Miami 2: Wrong Number","",1/13/2024,"C:\iTunes\Music\Compilations\Hotline Miami 2_ Wrong Number\03 Blizzard.mp3","1A - 3",2015,-15.4 dB,3,6,134
"Between Two Points feat. Swan","The Glitch Mob","11A",122.0,"","Drink The Sea","",1/13/2024,"C:\iTunes\Music\The Glitch Mob\Drink The Sea\06 Between Two Points feat. Swan.mp3","11A - 5",2010,-10.3 dB,5,8,9565
"Rebecca Black - Friday (Alasdair Cooper Remix)","Rebecca Black","1B",128.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Rebecca Black - Friday (Alasdair Cooper Remix).mp3","1B - 7",2011,-10.9 dB,7,8,3491
"Angelic","Andy Hunter","10B",135.2,"Pop","Exodus","",6/29/2023,"C:\iTunes\Music\Andy Hunter\Exodus\07 Angelic.mp3","10B - 6",2002,-13.0 dB,6,8,39
"The Hunter","Albert King","8A",133.9,"Blues","Born Under A Bad Sign","",6/29/2023,"C:\iTunes\Music\Albert King\Born Under A Bad Sign\06 The Hunter.mp3","8A - 6",2013,-14.5 dB,6,8,158
"Let It Go","Idina Menzel","4B",137.0,"Pop","Billboard 29th March 2014 Top40 [Bubanee]","",1/13/2024,"C:\iTunes\Music\Idina Menzel\Billboard 29th March 2014 Top40 [Bubanee]\17 Let It Go.mp3","4B - 5",2014,-13.4 dB,5,7,558
"Never on Sunday","The Ventures","12B",122.2,"Instrumental Rock","The Ventures Play Telstar & (The) Ventures in Space","",1/13/2024,"C:\iTunes\Music\The Ventures\The Ventures Play Telstar & (The) Ventures in Space\06 Never on Sunday.mp3","12B - 6",1992,-20.0 dB,6,8,1
"Calle Luna 5_3_2018","","8A",158.0,"","","",6/29/2023,"C:\Users\louis.media\Music\Moon Street.wav","8A - 8",,-9.6 dB,8,6,2330
"beach boys - good timin'","24 beach boys","10B",112.3,"rock","sounds of summer: the very best of the beach boys","",6/29/2023,"C:\iTunes\Music\beach boys\sounds of summer_ the very best of the beach boys\24 beach boys - good timin'.mp3","10B - 4",2003,-20.0 dB,4,3,0
"Memories","Buddy Holly","5B",144.7,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\1-18 Memories.mp3","5B - 1",2009,-15.4 dB,1,7,0
"April Come She Will","Simon and Garfunkel","4B",106.7,"Pop","Sounds Of Silence","",1/13/2024,"C:\iTunes\Music\Simon and Garfunkel\Sounds Of Silence\09 April Come She Will.mp3","4B - 2",2010,-19.2 dB,2,8,0
"Everything Will Be Alright","The Killers","5A",128.0,"Rock","Hot Fuss","",1/13/2024,"C:\iTunes\Music\The Killers\Hot Fuss\11 Everything Will Be Alright.mp3","5A - 4",2004,-9.1 dB,4,8,2289
"Long Time (Original Mix)","John De Sohn feat. Andreas Moe","12A",128.0,"Dance","Club Life - Volume Two Miami","",1/13/2024,"C:\iTunes\Music\Tiesto\Club Life - Volume Two Miami\1-10 Long Time (Original Mix).mp3","12A - 8",2012,-9.5 dB,8,8,7870
"Don't Cry","The Cosmic Sound Orchestra","1B",143.1,"Disco / Funk","Fly Some Funk Up To The Moon","",1/13/2024,"C:\iTunes\Music\The Cosmic Sound Orchestra\Fly Some Funk Up To The Moon\04 Don't Cry.mp3","1B - 5                            ",1978,-18.2 dB,5,3,0
"flying in a dream","beatmachinearon","5B",120.0,"","The Essenchills Volume 1","",1/13/2024,"C:\iTunes\Music\Chillhop Records\The Essenchills Volume 1\09 flying in a dream.mp3","5B - 3 - Visit http://chillhop.bandcamp.com",2014,-11.0 dB,3,8,0
"Beyond the Rainbow","Kalua Beach Boys","11B",106.5,"","Êîëëåêöèÿ îò Ðèäåðç Äàéäæåñò-H","",1/13/2024,"C:\iTunes\Music\Kalua Beach Boys\Êîëëåêöèÿ îò ‹èäå›ç Äàéäæåñò-H\Beyond the Rainbow.mp3","11B - 4",2004,-16.5 dB,4,8,16
"RAZORS.OUT","Mike Shinoda","12A",95.0,"Other","The Raid Redemption","",1/13/2024,"C:\iTunes\Music\The Raid Redemption\The Raid Redemption\25 - RAZORS.OUT.mp3","12A - 7",,-11.5 dB,7,8,4895
